"year","city","temp"
1886,"Mashhad","23.60966666666667"
1886,"Moscow","16.110666666666667"
1887,"Baghdad","33.59166666666667"
1887,"Calcutta","28.914666666666665"
1887,"Delhi","30.608333333333334"
1887,"Mashhad","23.075"
1887,"Moscow","15.297666666666666"
1888,"Baghdad","33.535000000000004"
1888,"Calcutta","29.372"
1888,"Delhi","31.265000000000004"
1888,"Mashhad","23.401666666666667"
1888,"Moscow","14.953666666666669"
1889,"Baghdad","33.824000000000005"
1889,"Calcutta","29.309"
1889,"Delhi","31.157999999999998"
1889,"Mashhad","23.84766666666667"
1889,"Moscow","16.094333333333335"
1890,"Baghdad","33.52"
1890,"Calcutta","28.55966666666667"
1890,"Delhi","30.429000000000002"
1890,"Mashhad","23.695999999999998"
1890,"Moscow","18.276666666666667"
1891,"Baghdad","34.024"
1891,"Calcutta","29.367333333333335"
1891,"Delhi","32.233666666666664"
1891,"Mashhad","23.432666666666666"
1891,"Moscow","16.693"
1892,"Baghdad","34.089"
1892,"Calcutta","28.879666666666665"
1892,"Delhi","31.168666666666667"
1892,"Mashhad","23.423000000000002"
1892,"Moscow","16.47066666666667"
1893,"Baghdad","33.788000000000004"
1893,"Calcutta","28.602333333333334"
1893,"Delhi","30.317666666666668"
1893,"Mashhad","23.64166666666667"
1893,"Moscow","16.494666666666664"
1894,"Baghdad","33.12733333333333"
1894,"Calcutta","28.685000000000002"
1894,"Delhi","30.459"
1894,"Mashhad","23.20266666666667"
1894,"Moscow","15.862333333333334"
1895,"Baghdad","33.465"
1895,"Calcutta","29.197666666666667"
1895,"Delhi","30.956000000000003"
1895,"Mashhad","22.656666666666666"
1895,"Moscow","16.888"
1896,"Baghdad","32.869"
1896,"Calcutta","29.265666666666664"
1896,"Delhi","31.671666666666667"
1896,"Mashhad","22.887"
1896,"Moscow","17.679333333333332"
1897,"Baghdad","33.51"
1897,"Calcutta","29.389666666666667"
1897,"Delhi","31.83366666666667"
1897,"Mashhad","23.18433333333333"
1897,"Moscow","18.082666666666668"
1898,"Baghdad","34.077666666666666"
1898,"Calcutta","29.019333333333332"
1898,"Delhi","31.796666666666667"
1898,"Mashhad","23.032"
1898,"Moscow","17.379"
1899,"Baghdad","34.294333333333334"
1899,"Calcutta","29.139333333333337"
1899,"Delhi","31.726"
1899,"Mashhad","24.167666666666666"
1899,"Moscow","14.999666666666668"
1900,"Baghdad","33.11233333333333"
1900,"Calcutta","29.421666666666667"
1900,"Delhi","32.580000000000005"
1900,"Mashhad","22.85366666666667"
1900,"Moscow","16.316333333333336"
1901,"Baghdad","34.84966666666667"
1901,"Calcutta","29.721"
1901,"Delhi","32.72933333333334"
1901,"Mashhad","22.982"
1901,"Moscow","18.76366666666667"
1902,"Baghdad","34.830000000000005"
1902,"Calcutta","29.494"
1902,"Delhi","31.801"
1902,"Mashhad","23.651666666666667"
1902,"Moscow","15.721666666666666"
1903,"Baghdad","34.44433333333333"
1903,"Calcutta","29.576999999999998"
1903,"Delhi","32.836999999999996"
1903,"Mashhad","23.49"
1903,"Moscow","17.561000000000003"
1904,"Baghdad","33.96266666666667"
1904,"Calcutta","29.039"
1904,"Delhi","31.132"
1904,"Mashhad","23.098"
1904,"Moscow","14.060666666666668"
1905,"Baghdad","33.94833333333333"
1905,"Calcutta","29.649666666666665"
1905,"Delhi","32.75933333333334"
1905,"Mashhad","23.61366666666667"
1905,"Moscow","16.738666666666667"
1906,"Baghdad","33.683"
1906,"Calcutta","29.51133333333333"
1906,"Delhi","31.700333333333333"
1906,"Mashhad","23.86"
1906,"Moscow","16.938333333333336"
1907,"Baghdad","33.282333333333334"
1907,"Calcutta","29.353666666666665"
1907,"Delhi","32.446000000000005"
1907,"Mashhad","22.703333333333333"
1907,"Moscow","15.955666666666668"
1908,"Baghdad","33.76766666666666"
1908,"Calcutta","29.285666666666668"
1908,"Delhi","31.355"
1908,"Mashhad","23.514333333333337"
1908,"Moscow","15.767666666666669"
1909,"Baghdad","33.976333333333336"
1909,"Calcutta","28.771666666666665"
1909,"Delhi","30.58933333333334"
1909,"Mashhad","23.02633333333333"
1909,"Moscow","15.803666666666667"
1910,"Baghdad","34.05233333333333"
1910,"Calcutta","29.03533333333333"
1910,"Delhi","31.029333333333337"
1910,"Mashhad","22.787666666666667"
1910,"Moscow","16.331666666666667"
1911,"Baghdad","33.184333333333335"
1911,"Calcutta","29.167333333333335"
1911,"Delhi","32.88833333333333"
1911,"Mashhad","23.47"
1911,"Moscow","15.797333333333334"
1912,"Baghdad","33.97133333333333"
1912,"Calcutta","29.377666666666666"
1912,"Delhi","32.177666666666674"
1912,"Mashhad","23.51733333333333"
1912,"Moscow","16.70566666666667"
1913,"Baghdad","33.53366666666667"
1913,"Calcutta","28.672666666666668"
1913,"Delhi","31.072"
1913,"Mashhad","23.360000000000003"
1913,"Moscow","16.607000000000003"
1914,"Baghdad","32.88633333333333"
1914,"Calcutta","29.123333333333335"
1914,"Delhi","31.355666666666668"
1914,"Mashhad","23.68733333333334"
1914,"Moscow","16.621"
1915,"Baghdad","33.81033333333333"
1915,"Calcutta","29.570000000000004"
1915,"Delhi","32.556666666666665"
1915,"Mashhad","23.727666666666664"
1915,"Moscow","15.647"
1916,"Baghdad","33.60933333333333"
1916,"Calcutta","28.98"
1916,"Delhi","30.913"
1916,"Mashhad","22.913666666666668"
1916,"Moscow","15.527000000000001"
1917,"Baghdad","33.845"
1917,"Calcutta","28.987666666666666"
1917,"Delhi","30.46066666666667"
1917,"Mashhad","23.43166666666667"
1917,"Moscow","17.98"
1918,"Baghdad","32.98733333333333"
1918,"Calcutta","28.891333333333336"
1918,"Delhi","32.297333333333334"
1918,"Mashhad","23.121666666666666"
1918,"Moscow","15.491999999999999"
1919,"Baghdad","32.836000000000006"
1919,"Calcutta","29.177333333333333"
1919,"Delhi","31.67833333333333"
1919,"Mashhad","23.643333333333334"
1919,"Moscow","16.483333333333334"
1920,"Baghdad","33.211000000000006"
1920,"Calcutta","29.768666666666665"
1920,"Delhi","30.834333333333337"
1920,"Mashhad","22.979"
1920,"Moscow","17.550666666666668"
1921,"Baghdad","34.314666666666675"
1921,"Calcutta","29.26533333333333"
1921,"Delhi","32.11333333333334"
1921,"Mashhad","23.769000000000002"
1921,"Moscow","16.212666666666667"
1922,"Baghdad","34.193999999999996"
1922,"Calcutta","28.918333333333333"
1922,"Delhi","31.281666666666666"
1922,"Mashhad","23.639"
1922,"Moscow","16.521000000000004"
1923,"Baghdad","33.445"
1923,"Calcutta","29.462666666666667"
1923,"Delhi","32.17366666666667"
1923,"Mashhad","23.570000000000004"
1923,"Moscow","14.757333333333335"
1924,"Baghdad","34.12266666666667"
1924,"Calcutta","29.837000000000003"
1924,"Delhi","32.117333333333335"
1924,"Mashhad","23.036"
1924,"Moscow","16.557333333333332"
1925,"Baghdad","33.269666666666666"
1925,"Calcutta","29.388333333333332"
1925,"Delhi","30.44966666666667"
1925,"Mashhad","24.596666666666668"
1925,"Moscow","16.511333333333333"
1926,"Baghdad","33.34166666666667"
1926,"Calcutta","29.79733333333333"
1926,"Delhi","32.49033333333333"
1926,"Mashhad","23.588333333333335"
