"УИК","ТИК","избирателей в списках","действительных бюллетеней","КПРФ","Зеленые","ЛДПР","Новые Люди","Единая Россия","Справедливая Россия","Яблоко","Партия Роста","РПСС","Коммунисты России","Гражданская платформа","Зеленая Альтернатива","Родина","Партия пенсионеров","явка","процент ЕР","сумма не-ЕР","процент не-ЕР"
"27","Волжский",1626,565,85,2,61,18,308,43,30,0,5,3,2,3,3,2,"34.7478474784748","54.5132743362832",257,"45.4867256637168"
"28","Волжский",1090,328,73,4,12,10,218,3,3,0,4,0,0,0,1,0,"30.0917431192661","66.4634146341463",110,"33.5365853658537"
"29","Волжский",1265,451,145,7,22,28,179,23,14,1,5,5,1,3,5,13,"35.6521739130435","39.689578713969",272,"60.310421286031"
"30","Волжский",2152,658,118,12,25,35,364,34,18,2,8,10,0,5,6,21,"30.5762081784387","55.3191489361702",294,"44.6808510638298"
"35","Волжский",1063,397,130,2,19,10,188,28,2,0,0,4,9,0,3,2,"37.3471307619944","47.3551637279597",209,"52.6448362720403"
"36","Волжский",1406,470,134,7,26,30,201,30,4,3,4,16,0,6,5,4,"33.4281650071124","42.7659574468085",269,"57.2340425531915"
"37","Волжский",1905,646,167,5,53,32,282,38,13,6,11,17,1,4,5,12,"33.9107611548556","43.6532507739938",364,"56.3467492260062"
"42","Волжский",2112,696,218,7,55,50,256,60,13,1,7,8,0,3,6,12,"32.9545454545455","36.7816091954023",440,"63.2183908045977"
"1889","Волжский",2730,803,230,10,53,41,354,46,11,3,7,15,0,5,5,23,"29.4139194139194","44.0846824408468",449,"55.9153175591532"
"1894","Волжский",1085,360,95,8,12,35,125,40,20,2,2,4,0,5,6,6,"33.1797235023041","34.7222222222222",235,"65.2777777777778"
"292","Октябрьский",1877,647,195,11,27,42,206,56,37,7,12,10,0,11,17,16,"34.4698987746404","31.839258114374",441,"68.160741885626"
"293","Октябрьский",1298,496,175,5,27,27,169,32,21,2,4,3,0,5,11,15,"38.2126348228043","34.0725806451613",327,"65.9274193548387"
"294","Октябрьский",1879,613,203,10,37,48,194,34,25,1,8,6,0,11,15,21,"32.6237360298031","31.6476345840131",419,"68.352365415987"
"295","Октябрьский",1833,567,216,6,25,29,199,20,21,1,11,6,0,9,4,20,"30.9328968903437","35.0970017636684",368,"64.9029982363316"
